GEMS.Station.Number,Sample.Date,pH,NO2N,NO3N,TP,O2-Dis,NH4N
AUT00057,2014-03-17,8.1,0.034,2.498,0.024,11.8,0.028
AUT00057,2014-03-31,8.1,0.023,1.978,0.02,11.7,0.03
AUT00057,2014-04-14,8.2,0.015,1.638,0.03,11.2,0.023
AUT00057,2014-05-05,8.2,0.013,1.456,0.022,10.6,0.019
AUT00057,2014-05-19,8.1,0.017,1.665,0.028,10.8,0.023
AUT00057,2014-06-02,8.1,0.017,1.335,0.027,10.5,0.017
AUT00057,2014-06-16,8.0,0.017,1.096,0.053,10.4,0.027
AUT00057,2014-07-01,8.1,0.017,1.337,0.036,9.5,0.031
AUT00057,2014-07-14,8.0,0.016,1.216,0.021,9.1,0.026
AUT00057,2014-08-04,8.1,0.023,1.241,0.025,9.6,0.016
AUT00057,2014-08-18,8.0,0.029,1.136,0.074,10.0,0.062
AUT00057,2014-09-01,8.1,0.017,1.295,0.091,10.7,0.012
AUT00057,2014-09-15,8.2,0.02,1.422,0.086,11.6,0.03
AUT00057,2014-10-01,8.1,0.016,1.627,0.019,9.9,0.014
AUT00057,2014-10-20,8.0,0.018,1.714,0.017,9.8,0.014
AUT00057,2014-11-03,8.3,0.025,2.128,0.017,10.9,0.022
AUT00057,2014-11-17,8.1,0.017,1.51,0.041,11.3,0.028
AUT00057,2014-12-01,8.4,0.014,1.903,0.021,11.6,0.023
AUT00057,2014-12-15,8.3,0.017,2.03,0.02,11.9,0.026
AUT00057,2021-01-12,8.3,0.007009602537,0.892396705274,0.018,12.8,0.01900226328
AUT00057,2021-01-18,8.1,0.005006858955,0.92437508665,0.009,13.4,0.01700202504
AUT00057,2021-02-01,8.2,0.005006858955,0.8993919762,0.017,12.6,0.03300393096
AUT00057,2021-02-16,8.1,0.005006858955,0.92937170874,0.016,13.2,0.02800333536
AUT00057,2021-03-01,8.1,0.006008230746,0.887400083184,0.019,12.3,0.02400285888
AUT00057,2021-03-15,8.1,0.005006858955,0.896394002946,0.008,12.2,0.02700321624
AUT00057,2021-04-06,8.2,0.003004115373,0.76448317977,0.011,11.4,0.01200142944
AUT00057,2021-04-19,8.2,0.004005487164,0.847427106464,0.008,11.2,0.01800214416
AUT00057,2021-05-03,8.0,0.005006858955,0.700526417018,0.031,11.9,0.01800214416
AUT00057,2021-05-17,8.1,0.003004115373,0.535637888048,0.041,11.4,0.02200262064
AUT00057,2021-06-01,8.1,0.003004115373,0.57461154035,0.025,10.9,0.02200262064
AUT00057,2021-06-14,7.9,0.003004115373,0.223848669632,0.052,12.0,0.01400166768
AUT00057,2021-07-05,8.1,0.003004115373,0.467683827624,0.037,9.5,0.01800214416
AUT00057,2021-07-19,7.9,0.003004115373,0.43470612183,0.05,10.6,0.01900226328
AUT00057,2021-08-02,8.0,0.004005487164,0.458689907862,0.026,10.5,0.02200262064
AUT00057,2021-08-16,8.0,0.003004115373,0.497663560164,0.013,9.1,0.01700202504
AUT00057,2021-09-01,8.1,0.003004115373,0.558622349662,0.019,9.2,0.01900226328
AUT00057,2021-09-13,7.9,0.004005487164,0.612585868234,0.007,10.0,0.01600190592
AUT00057,2021-10-04,8.0,0.003004115373,0.652558844954,0.01,9.6,0.02300273976
AUT00057,2021-10-18,8.0,0.004005487164,0.728507500722,0.012,10.1,0.02700321624
AUT00057,2021-11-02,8.0,0.004005487164,0.756488584426,0.011,11.1,0.01100131032
AUT00057,2021-11-15,7.9,0.003004115373,0.746495340246,0.024,10.6,0.02600309712
AUT00057,2021-12-01,8.2,0.003004115373,0.75448993559,0.009,11.6,0.02700321624
AUT00057,2021-12-13,8.1,0.004005487164,0.860418323898,0.008,12.2,0.025002978
AUT00061,2014-01-31,8.0,0.02,4.822,0.007,11.9,0.033
AUT00061,2014-03-07,8.1,0.039,4.14,0.005,12.6,0.008
AUT00061,2014-03-19,8.0,0.027,4.018,0.01,10.9,0.027
AUT00061,2014-04-30,8.0,0.043,3.361,0.027,9.4,0.032
AUT00061,2014-05-26,8.4,0.021,3.969,0.02,9.3,0.014
AUT00061,2014-06-15,8.2,0.024,3.604,0.01,9.7,0.016
AUT00061,2014-06-28,8.2,0.019,3.945,0.012,9.7,0.017
AUT00061,2014-08-07,8.3,0.021,3.263,0.006,8.9,0.013
AUT00061,2014-08-25,7.9,0.019,3.068,0.005,8.7,0.008
AUT00061,2014-10-04,8.3,0.02,3.409,0.006,9.5,0.019
AUT00061,2014-11-12,8.2,0.008,4.018,0.007,10.4,0.008
AUT00061,2014-12-02,8.1,0.022,4.773,0.014,10.4,0.017
AUT00061,2014-12-14,8.4,0.017,4.359,0.01,11.3,0.017
AUT00061,2021-01-07,8.3,0.003004115373,2.0985812778,0.014,11.9,0.01900226328
AUT00061,2021-02-28,8.4,0.018024692238,0.05995946508,0.011,13.0,0.01700202504
AUT00061,2021-04-12,8.2,0.005207133313,1.498986627,0.015,10.9,0.02700321624
AUT00061,2021-04-28,8.5,0.03004115373,1.2991217434,0.013,11.1,0.0450053604
AUT00061,2021-05-25,8.3,0.003004115373,1.2991217434,0.011,10.6,0.0100011912
AUT00061,2021-06-29,8.1,0.027037038357,1.0992568598,0.013,9.6,0.850101252
AUT00061,2021-07-13,8.2,0.003004115373,0.96934468546,0.009,11.6,0.04400524128
AUT00061,2021-09-01,8.5,0.003004115373,1.1991893016,0.005,10.8,0.02600309712
AUT00061,2021-09-23,8.1,0.006408779462,1.6988515106,0.008,10.4,0.01600190592
AUT00061,2021-10-12,8.15,0.003004115373,0.58960140662,0.009,11.0,0.01700202504
AUT00061,2021-11-25,8.0,0.003004115373,1.8987163942,0.005,10.8,0.0100011912
AUT00061,2021-12-15,8.2,0.005507544851,1.3990541852,0.042,11.9,0.0100011912
AUT00062,2014-01-08,8.4,0.084,7.233,0.05,12.3,0.018
AUT00062,2014-01-21,8.4,0.113,6.234,0.057,12.0,0.012
AUT00062,2014-02-04,8.4,0.108,7.647,0.054,13.2,0.03
AUT00062,2014-02-18,8.4,0.054,6.137,0.038,13.2,0.014
AUT00062,2014-03-18,8.6,0.054,5.406,0.029,12.2,0.006
AUT00062,2014-03-31,8.8,0.036,4.383,0.035,13.2,0.006
AUT00062,2014-04-10,8.7,0.03,4.116,0.033,12.4,0.006
AUT00062,2014-04-22,8.5,0.036,4.164,0.025,11.3,0.012
AUT00062,2014-05-06,8.6,0.036,3.409,0.031,8.9,0.006
AUT00062,2014-05-20,8.2,0.072,5.601,0.031,10.5,0.1
AUT00062,2014-06-03,8.1,0.113,6.088,0.065,9.8,0.051
AUT00062,2014-06-17,8.2,0.03,2.435,0.028,9.5,0.006
AUT00062,2014-07-03,8.3,0.036,3.288,0.036,9.3,0.006
AUT00062,2014-07-22,8.1,0.024,4.067,0.051,8.8,0.006
AUT00062,2014-08-06,8.0,0.096,1.997,0.074,9.0,0.026
AUT00062,2014-08-19,8.0,0.09,2.679,0.073,9.3,0.018
AUT00062,2014-09-09,8.1,0.042,2.8,0.042,9.2,0.006
AUT00062,2014-09-23,8.1,0.03,3.848,0.052,9.6,0.006
AUT00062,2014-10-06,8.2,0.03,3.823,0.045,10.1,0.006
AUT00062,2014-10-21,8.2,0.024,4.018,0.051,9.7,0.006
AUT00062,2014-11-11,8.1,0.048,4.14,0.04,10.7,0.018
AUT00062,2014-11-25,8.3,0.084,6.185,0.063,11.7,0.025
AUT00062,2014-12-09,8.2,0.09,4.919,0.062,12.2,0.018
AUT00062,2014-12-19,8.2,0.084,5.869,0.049,11.4,0.013
AUT00062,2021-01-19,8.3,0.02381262119,2.306230898616,0.03646,13.9,0.026633172166
AUT00062,2021-01-29,8.3,0.050188754165,2.703552293969,0.06163,12.2,0.077349212741
AUT00062,2021-02-16,8.2,0.032504528336,2.842608286734,0.04415,12.7,0.040774856522
AUT00062,2021-02-25,8.2,0.053142800948,2.914849448911,0.03763,12.5,0.057386835106
AUT00062,2021-03-16,8.3,0.052411799541,2.500149801929,0.02074,13.27,0.013741636709
AUT00062,2021-03-29,8.5,0.030581894497,2.383668547767,0.01715,12.62,0.031913801119
AUT00062,2021-04-08,8.3,0.028178602199,1.547273982878,0.01409,11.97,0.008621026814
AUT00062,2021-04-20,8.5,0.022050206838,1.495349086118,0.01621,12.35,0.023372783834
AUT00062,2021-05-06,8.45,0.014820302507,1.318588583063,0.01774,11.47,0.01033123051
AUT00062,2021-05-18,8.1,0.027317422458,2.587970431783,0.03652,9.25,0.038594596841
AUT00062,2021-06-07,8.3,0.006498902924,1.212040613615,0.01337,9.66,0.022052626596
AUT00062,2021-06-22,7.8,0.008631824838,0.994867431096,0.03421,9.3,0.020272414562
AUT00062,2021-07-07,7.8,0.0107347056,1.588586054318,0.0571,7.46,0.047065605787
AUT00062,2021-07-20,7.8,0.02472386952,1.329431252998,0.02136,9.9,0.067568047747
AUT00062,2021-08-04,7.9,0.010003704192,1.583389567344,0.02156,8.3,0.007770925562
AUT00062,2021-08-17,7.9,0.021829905044,1.251094211871,0.04181,8.25,0.091020841111
AUT00062,2021-09-07,7.9,0.008751989453,1.528986346028,0.04741,9.31,0.025783070914
AUT00062,2021-09-21,8.0,0.004295884983,1.673918366371,0.01996,9.07,0.00792094343
AUT00062,2021-10-05,8.0,0.004115638061,1.715230437811,0.02785,10.55,0.007770925562
AUT00062,2021-10-19,8.3,0.004576269085,1.613639117477,0.02465,11.78,0.007770925562
AUT00062,2021-11-02,8.5,0.010153909961,2.380960378594,0.04562,12.0,0.024542923205
AUT00062,2021-11-23,8.16,0.007440192407,2.084330911599,0.03316,12.4,0.016541970245
AUT00062,2021-12-07,8.3,0.010364198037,2.227903850733,0.03489,12.2,0.020112395503
AUT00062,2021-12-16,8.2,0.016011934938,2.573290356083,0.04872,11.8,0.051566141827
AUT00063,2014-01-16,7.5,0.072,6.088,0.166,11.5,0.175
AUT00063,2014-02-20,7.6,0.06,6.794,0.113,11.6,0.05
AUT00063,2014-03-11,7.6,0.066,6.137,0.076,11.2,0.047
AUT00063,2014-04-15,7.4,0.197,6.356,0.225,10.0,0.391
AUT00063,2014-05-20,6.9,0.06,5.114,0.087,8.4,0.021
AUT00063,2014-06-24,7.5,0.06,4.627,0.089,8.8,0.012
AUT00063,2014-07-09,7.2,0.185,3.58,0.395,7.9,0.172
AUT00063,2014-09-18,6.9,0.06,4.578,0.09,7.7,0.013
AUT00063,2014-10-28,7.3,0.06,4.602,0.09,10.3,0.047
AUT00063,2014-11-18,7.4,0.078,6.064,0.167,9.9,0.063
AUT00063,2014-12-11,7.4,0.09,4.53,0.151,12.4,0.133
AUT00063,2021-01-19,7.8,0.020638272613,2.724767951363,0.072,12.8,0.075949045973
AUT00063,2021-02-15,7.9,0.013969136484,3.510147004713,0.0601,13.6,0.069898325297
AUT00063,2021-03-18,7.3,0.015150755198,2.623636320261,0.04353,11.84,0.085190146642
AUT00063,2021-04-26,7.9,0.014790261353,1.487674274588,0.05733,12.2,0.026713181695
AUT00063,2021-05-17,8.0,0.014149383407,1.39692562419,0.09242,9.12,0.039914754079
AUT00063,2021-06-17,7.4,0.037020715113,1.313851785321,0.13432,7.3,0.078899397377
AUT00063,2021-07-21,7.4,0.010584499831,1.082458216333,0.06114,8.1,0.044885346106
AUT00063,2021-08-19,7.56,0.029640605014,1.566011315715,0.09405,8.35,0.126355049621
AUT00063,2021-09-20,7.7,0.011225377777,1.473683732736,0.1594,9.0,0.019572331178
AUT00063,2021-10-14,7.54,0.020427984536,1.512957182364,0.11198,9.8,0.090710804184
AUT00063,2021-11-24,6.83,0.032594651797,1.499186491884,0.11345,11.57,0.14576736174
AUT00063,2021-12-14,7.5,0.040705763304,2.090416797305,0.13419,11.3,1.059816230273
AUT00065,2014-01-08,8.2,0.131,7.452,0.133,12.2,0.09
AUT00065,2014-01-21,8.3,0.126,7.086,0.131,11.9,0.078
AUT00065,2014-02-04,8.1,0.102,9.4,0.126,12.8,0.196
AUT00065,2014-02-18,8.1,0.138,8.718,0.113,12.0,0.109
AUT00065,2014-03-18,8.6,0.096,6.551,0.089,13.3,0.012
AUT00065,2014-03-31,8.4,0.084,7.208,0.136,11.0,0.006
AUT00065,2014-04-10,8.7,0.084,5.09,0.09,12.7,0.006
AUT00065,2014-04-22,8.9,0.09,4.188,0.057,11.9,0.082
AUT00065,2014-05-06,8.2,0.102,5.601,0.136,9.2,0.006
AUT00065,2014-05-22,7.8,0.197,4.87,0.089,8.3,0.061
AUT00065,2014-06-03,7.9,0.143,5.114,0.178,8.4,0.03
AUT00065,2014-06-17,8.5,0.06,1.461,0.165,10.8,0.123
AUT00065,2014-07-03,8.3,0.078,3.117,0.197,9.0,0.006
AUT00065,2014-07-28,8.7,0.036,0.014,0.395,11.5,0.006
AUT00065,2014-08-06,8.1,0.072,2.046,0.446,7.9,0.014
AUT00065,2014-08-19,8.5,0.06,2.971,0.362,9.9,0.006
AUT00065,2014-09-09,7.9,0.126,4.749,0.293,8.0,0.023
AUT00065,2014-09-23,7.9,0.197,6.258,0.23,7.9,0.026
AUT00065,2014-10-06,7.9,0.167,7.233,0.147,8.3,0.036
AUT00065,2014-10-21,8.0,0.108,6.819,0.203,9.1,0.023
AUT00065,2014-11-11,8.1,0.191,7.111,0.153,9.7,0.09
AUT00065,2014-11-25,8.1,0.161,8.377,0.153,11.4,0.084
AUT00065,2014-12-09,8.1,0.173,8.036,0.171,12.3,0.131
AUT00065,2014-12-19,8.1,0.197,10.983,0.126,11.9,0.139
AUT00065,2017-12-05,8.1,0.021028807611,2.0985812778,0.112,13.6,0.03900464568
AUT00065,2021-01-19,8.3,0.034367079867,4.251275972835,0.10272,12.8,0.077269203211
AUT00065,2021-02-16,7.9,0.02539478862,5.54661027669,0.08514,13.9,0.064227649886
AUT00065,2021-02-25,8.0,0.032043897312,4.839798109083,0.08978,13.0,0.07183855639
AUT00065,2021-03-16,8.1,0.023632374268,4.754695641646,0.06509,12.3,0.009711156655
AUT00065,2021-03-29,8.4,0.019727024283,4.226892457035,0.0451,12.73,0.007770925562
AUT00065,2021-04-08,8.96,0.014850343661,3.473801575631,0.04389,12.46,0.013201572384
AUT00065,2021-04-14,8.81,0.017253635959,3.437456146548,0.07168,11.68,0.016932016702
AUT00065,2021-05-06,8.3,0.024603704905,2.620698306472,0.05935,11.0,0.015371830874
AUT00065,2021-05-18,7.9,0.059821950794,3.231795181324,0.10112,8.26,0.109883087714
AUT00065,2021-06-07,8.82,0.015981893784,2.503537511706,0.03874,10.12,0.010951304364
AUT00065,2021-06-22,8.1,0.01576159199,1.013834608549,0.10318,7.8,0.018012145351
AUT00065,2021-07-07,8.07,0.011255418931,1.265084753723,0.20358,6.92,0.018712228735
AUT00065,2021-08-04,8.5,0.009332785092,0.671595975117,0.24379,8.5,0.020732469358
AUT00065,2021-08-17,8.37,0.012957750976,1.058074700534,0.23642,7.21,0.019102275192
AUT00065,2021-09-07,7.96,0.009633196629,1.272989409869,0.2375,8.1,0.035644245437
AUT00065,2021-09-21,8.7,0.005767901516,1.051978821584,0.23026,9.65,0.007770925562
AUT00065,2021-10-05,8.5,0.005547599722,0.910434511019,0.23394,9.3,0.010791285305
AUT00065,2021-10-19,8.3,0.008321399583,1.503473593637,0.20867,9.7,0.030593643881
AUT00065,2021-11-02,8.2,0.008601783685,1.952040345144,0.14841,10.7,0.025703061384
AUT00065,2021-11-23,8.15,0.017163512498,2.094484047686,0.15343,12.37,0.049935947662
AUT00065,2021-12-07,8.1,0.03320548859,2.355897322191,0.15519,11.9,0.176911071137
AUT00065,2021-12-16,8.2,0.028358849121,2.588420127771,0.14981,12.1,0.10926301386
AUT00067,2014-01-16,8.3,0.131,6.819,0.057,12.6,0.039
AUT00067,2014-02-13,8.3,0.078,7.281,0.044,12.6,0.018
AUT00067,2014-03-20,8.6,0.048,5.455,0.027,12.5,0.012
AUT00067,2014-04-16,8.5,0.054,4.31,0.018,12.4,0.057
AUT00067,2014-05-20,8.1,0.06,5.114,0.04,10.5,0.028
AUT00067,2014-06-23,8.2,0.06,2.679,0.035,10.2,0.006
AUT00067,2014-07-24,8.0,0.066,3.093,0.063,8.4,0.041
AUT00067,2014-08-20,8.0,0.054,3.166,0.051,9.6,0.025
AUT00067,2014-09-24,8.2,0.042,3.288,0.046,9.3,0.025
AUT00067,2014-10-29,8.1,0.06,3.994,0.062,11.0,0.067
AUT00067,2014-11-24,8.2,0.102,6.185,0.072,11.5,0.05
AUT00067,2014-12-08,8.1,0.09,4.919,0.049,11.7,0.043
AUT00067,2021-01-13,8.4,0.022170371453,3.446260194671,0.03372,12.8,0.042555068556
AUT00067,2021-02-17,8.1,0.020127572999,3.111476521396,0.03815,13.3,0.066707945304
AUT00067,2021-03-15,8.45,0.014269548022,2.631540976408,0.02169,13.2,0.012891535457
AUT00067,2021-04-14,8.1,0.014089301099,1.643668816238,0.01317,12.3,0.019962377635
AUT00067,2021-06-21,7.88,0.010003704192,0.854002661134,0.02354,9.08,0.030133589086
AUT00067,2021-07-19,8.1,0.025705213875,0.921726876942,0.02508,9.02,0.007770925562
AUT00067,2021-08-24,8.1,0.008111111507,1.480229307674,0.02778,8.9,0.036264319291
AUT00067,2021-09-15,8.1,0.008020988046,1.70664624106,0.02051,9.23,0.01592189639
AUT00067,2021-10-12,8.19,0.007580384458,1.757891597215,0.02354,10.17,0.012971544986
AUT00067,2021-11-11,8.3,0.010484362652,2.179816359739,0.03372,10.97,0.036114301423
AUT00067,2021-12-13,8.2,0.016342387629,2.668106256862,0.04096,11.8,0.071288490874
AUT00070,2014-01-22,8.2,0.226,2.194,0.028,12.3,0.021
AUT00070,2014-02-19,8.1,0.168,2.408,0.015,12.4,0.013
AUT00070,2014-03-19,7.9,0.107,2.26,0.017,10.8,0.062
AUT00070,2014-04-15,7.9,0.102,1.775,0.027,11.0,0.016
AUT00070,2014-04-16,7.8,0.075,1.666,0.015,12.1,0.014
AUT00070,2014-05-21,7.7,0.074,1.442,0.01,11.5,0.008
AUT00070,2014-06-17,7.7,0.022,1.344,0.009,10.5,0.019
AUT00070,2014-07-16,8.1,0.037,1.502,0.01,10.0,0.027
AUT00070,2014-08-20,7.7,0.047,1.427,0.011,10.3,0.021
AUT00070,2014-09-17,7.6,0.085,1.558,0.028,10.9,0.013
AUT00070,2014-10-15,8.3,0.018,1.614,0.008,10.5,0.037
AUT00070,2014-11-19,7.8,0.029,1.5,0.018,11.6,0.021
AUT00070,2014-12-16,7.9,0.184,2.111,0.014,12.7,0.008
AUT00070,2017-01-01,7.6,0.010814815343,0.947359548264,0.013,11.5,0.01300154856
AUT00070,2017-03-01,7.9,0.008010974328,1.05928388308,0.021,11.2,0.00800095296
AUT00070,2017-05-01,7.7,0.003004115373,0.4496959881,0.032,10.5,0.01600190592
AUT00070,2021-01-20,8.1,0.007990946892,0.917439775189,0.0045,13.0,0.018482201338
AUT00070,2021-02-17,8.1,0.007320027792,0.885831143848,0.00734,12.7,0.012351471132
AUT00070,2021-03-17,8.1,0.010484362652,0.764153402712,0.00773,11.9,0.075799028105
AUT00070,2021-04-21,6.9,0.007259945485,0.640896728996,0.00812,10.6,0.019102275192
AUT00070,2021-05-19,8.0,0.0040255146,0.542243422451,0.00652,10.8,0.007770925562
AUT00070,2021-06-23,7.5,0.003384636654,0.407924227428,0.0137,9.3,0.010951304364
AUT00070,2021-07-21,8.1,0.005888066131,0.472490578075,0.0074,9.4,0.021742589669
AUT00070,2021-08-18,7.8,0.005948148439,0.423723546476,0.07914,9.6,0.041854985172
AUT00070,2021-09-22,8.2,0.004145679215,0.577239763569,0.01128,9.9,0.009321110198
AUT00070,2021-10-20,7.8,0.004516186777,0.60026419816,0.00717,9.9,0.008771044682
AUT00070,2021-11-17,8.0,0.003384636654,0.650830013711,0.00978,11.3,0.013511609311
AUT00070,2021-12-15,8.0,0.007099725998,0.823982955618,0.01657,12.1,0.015141803477
AUT00073,2014-01-07,7.75,0.107,2.081,0.066,12.3,0.102
AUT00073,2014-01-22,7.98,0.062,1.524,0.029,12.9,0.048
AUT00073,2014-02-03,7.98,0.061,2.009,0.035,12.08,0.063
AUT00073,2014-02-17,8.05,0.07,2.155,0.028,11.69,0.062
AUT00073,2014-03-05,8.16,0.047,1.454,0.025,12.06,0.049
AUT00073,2014-03-19,8.21,0.058,1.671,0.021,10.07,0.03
AUT00073,2014-04-01,8.39,0.041,1.389,0.029,11.55,0.022
AUT00073,2014-04-14,8.11,0.05,1.564,0.052,10.82,0.048
AUT00073,2014-05-05,8.05,0.026,3.01,0.037,11.05,0.026
AUT00073,2014-05-19,8.02,0.02,1.31,0.051,10.42,0.025
AUT00073,2014-06-02,7.83,0.019,1.108,0.026,10.42,0.021
AUT00073,2014-06-16,8.02,0.023,0.864,0.184,10.14,0.027
AUT00073,2014-07-01,8.29,0.001,0.718,0.11,11.08,0.019
AUT00073,2014-07-16,7.71,0.001,0.848,0.091,10.25,0.021
AUT00073,2014-08-04,8.07,0.03,1.107,0.691,9.84,0.043
AUT00073,2014-08-18,8.01,0.001,0.963,0.065,10.7,0.019
AUT00073,2014-09-01,8.14,0.031,0.967,0.695,10.59,0.042
AUT00073,2014-09-15,7.99,0.001,1.064,0.057,10.48,0.019
AUT00073,2014-10-01,7.95,0.025,1.057,0.042,10.47,0.026
AUT00073,2014-10-15,8.05,0.023,1.06,0.057,10.64,0.027
AUT00073,2014-11-03,8.16,0.001,1.495,0.049,11.26,0.023
AUT00073,2014-11-17,8.04,0.02,1.43,0.023,11.46,0.037
AUT00073,2014-12-02,8.08,0.02,1.4,0.023,11.76,0.041
AUT00073,2014-12-15,7.9,0.023,1.489,0.018,12.26,0.033
AUT00073,2021-01-12,7.97,0.007159808306,0.914991430365,0.01678,12.9,0.012711514015
AUT00073,2021-01-25,7.93,0.01226680444,0.843349862839,0.02007,12.42,0.033914039359
AUT00073,2021-02-01,8.22,0.014259534304,0.85607126268,0.02316,12.03,0.056846770781
AUT00073,2021-02-17,8.16,0.010914952522,0.663301582448,0.01672,12.58,0.027073224578
AUT00073,2021-03-03,8.24,0.009372839964,0.698777599286,0.02232,12.67,0.016802001216
AUT00073,2021-03-16,8.04,0.009062414709,0.815268846693,0.02359,11.61,0.038914634959
AUT00073,2021-04-06,8.02,0.006538957795,0.830608476509,0.01403,11.44,0.019312300207
AUT00073,2021-04-19,8.18,0.006999588819,0.743097637225,0.01536,11.06,0.025313014927
AUT00073,2021-05-04,8.07,0.004846639468,0.582226392415,0.03011,10.89,0.027793310345
AUT00073,2021-05-18,7.82,0.004055555754,0.454632650725,0.06019,10.94,0.015861889243
AUT00073,2021-06-01,7.78,0.003875308831,0.443620095639,0.0213,10.7,0.018142160837
AUT00073,2021-06-14,8.05,0.003044170245,0.302445535108,0.25477,12.06,0.016011907111
AUT00073,2021-07-05,8.03,0.006719204718,0.40130869978,0.05185,8.53,0.024762949411
AUT00073,2021-07-19,8.08,0.003044170245,0.348044708301,1.25771,11.48,0.092240986438
AUT00073,2021-08-02,8.33,0.005347325364,0.329307375464,0.18231,10.81,0.031403740368
AUT00073,2021-08-16,7.95,0.004045542036,0.456801184712,0.07334,9.6,0.020202406224
AUT00073,2021-09-01,8.16,0.003344581782,0.42514258715,0.05672,10.45,0.023262770731
AUT00073,2021-09-13,8.06,0.003174348577,0.504009270218,0.01881,9.61,0.018822241838
AUT00073,2021-10-05,8.18,0.003955418574,0.652598817931,0.01174,10.11,0.019492321649
AUT00073,2021-10-20,8.08,0.003474760115,0.518869224314,0.0114,11.56,0.020492440769
AUT00073,2021-11-02,8.22,0.005998217028,0.791295053905,0.03949,10.95,0.037244436029
AUT00073,2021-11-15,7.98,0.010394239191,0.77789411346,0.03082,11.43,0.068358141852
AUT00073,2021-12-01,7.89,0.004386008445,0.577389662232,0.01993,12.44,0.034044054845
AUT00073,2021-12-14,8.05,0.005056927545,0.714027289905,0.02736,12.69,0.036604359792
AUT00231,2016-06-21,8.8,0.003004115373,0.065955411588,0.031,9.5,0.01400166768
AUT00231,2016-07-18,8.8,0.003004115373,0.066954736006,0.036,10.0,0.01400166768
AUT00231,2016-08-23,8.8,0.003004115373,0.041971625556,0.023,9.2,0.00800095296
AUT00231,2016-09-19,8.9,0.003004115373,0.031978381376,0.062,8.5,0.0150017868
AUT00231,2017-06-26,8.8,0.003004115373,0.027981083704,0.11,8.2,0.01200142944
AUT00231,2017-07-17,8.9,0.003004115373,0.03497635463,0.021,9.2,0.0100011912
AUT00231,2017-08-21,9.0,0.003004115373,0.02997973254,0.033,9.0,0.025002978
AUT00231,2017-09-25,8.9,0.003004115373,0.031978381376,0.027,10.8,0.01300154856
AUT00231,2018-06-11,9.0,0.003004115373,0.03997297672,0.035,8.8,0.00800095296
AUT00231,2018-07-16,9.0,0.003004115373,0.027981083704,0.028,8.5,0.01200142944
AUT00231,2018-08-13,9.0,0.003004115373,0.031978381376,0.045,8.8,0.00700083384
AUT00231,2018-09-26,9.0,0.003004115373,0.027981083704,0.017,10.5,0.00600071472
AUT00231,2019-06-06,8.9,0.003004115373,0.067954060424,0.04,8.0,0.05400643248
AUT00231,2019-08-09,9.0,0.003004115373,0.030979056958,0.027,8.0,0.03600428832
