GEMS.Station.Number,Sample.Date,pH,NO2N,NO3N,DRP
ARG00020,2021-10-06,7.38,0.01,0.1,0.004
ARG00020,2021-11-02,8.32,0.012,0.3,0.004
ARG00020,2022-02-22,8.4,0.00075,0.7,0.01
ARG00020,2022-05-03,8.57,0.00075,0.7,0.02
ARG00020,2022-09-06,8.4,0.09,0.5,0.04
ARG00020,2022-11-07,7.85,0.00075,0.3,0.02
ARG00021,2018-08-22,9.0,0.04,1.7,0.1
ARG00021,2018-11-21,8.56,0.01,0.8,0.3
ARG00021,2019-05-29,8.66,0.01,1.2,0.1
ARG00021,2019-08-22,8.83,0.01,1.4,0.1
ARG00021,2019-11-27,8.46,0.01,0.9,0.1
ARG00021,2021-02-09,8.82,0.008,0.79,0.0325
ARG00021,2021-06-22,8.96,0.008,0.79,0.0325
ARG00021,2021-09-22,8.78,0.005,0.8,0.015
ARG00021,2021-11-16,9.17,0.005,0.6,0.015
ARG00021,2022-02-22,8.74,0.03,0.7,0.015
ARG00021,2022-05-25,9.13,0.005,0.7,0.2
ARG00021,2022-08-24,8.99,0.015,0.8,0.015
ARG00022,2018-08-23,8.63,0.09,0.05,0.05
ARG00022,2018-11-22,7.83,0.15,0.2,6.5
ARG00022,2021-02-09,8.38,0.008,0.008,0.0815
ARG00022,2021-06-22,7.97,0.008,0.008,0.0325
ARG00022,2021-09-21,8.0,0.005,0.1,0.015
ARG00022,2021-11-16,9.15,0.005,0.025,0.015
ARG00022,2022-02-22,8.2,0.005,0.2,0.015
ARG00022,2022-05-24,8.23,0.005,0.025,0.015
ARG00022,2022-08-23,8.68,0.005,0.025,0.015
ARG00023,2019-05-29,8.64,0.01,0.9,0.1
ARG00023,2019-08-22,8.76,0.01,1.4,0.1
ARG00023,2021-02-09,8.44,0.008,0.7,0.0325
ARG00023,2021-06-22,8.92,0.008,0.497,0.0325
ARG00023,2021-09-22,8.84,0.005,0.3,0.015
ARG00023,2022-08-24,8.77,0.005,0.2,0.015
ARG00024,2018-08-21,7.55,0.01,0.5,3.6
ARG00024,2018-11-15,7.93,0.01,0.05,2.0
ARG00024,2019-08-14,8.13,0.01,0.05,2.0
ARG00024,2021-02-11,8.03,0.00075,0.0225,0.23
ARG00024,2021-05-19,8.07,0.00075,0.17,0.004
ARG00024,2021-09-01,8.06,0.00075,0.1,0.59
ARG00024,2021-11-01,8.04,0.157,0.7,0.46
ARG00024,2022-02-09,8.06,0.04,1.14,0.14
ARG00024,2022-05-10,7.98,0.00075,0.7,0.18
ARG00024,2022-09-06,8.46,0.003,1.8,0.5
ARG00024,2022-11-08,8.38,0.01,0.6,0.66
ARG00025,2018-11-15,7.92,0.01,0.9,2.0
ARG00025,2019-02-11,7.56,0.005,1.3,1.0
ARG00025,2019-08-14,7.77,0.01,0.5,2.0
ARG00025,2019-11-14,7.3,0.01,0.5,1.0
ARG00025,2020-02-17,7.98,0.042,1.1,1.0
ARG00025,2021-02-11,7.99,0.08,0.8,0.3
ARG00025,2021-05-19,7.95,0.00075,0.17,0.01
ARG00025,2021-09-01,7.63,0.00075,0.5,0.49
ARG00025,2021-11-01,8.15,0.35,1.1,0.44
ARG00025,2022-02-09,8.03,0.01,1.74,0.14
ARG00025,2022-05-10,8.42,0.07,2.5,0.33
ARG00025,2022-09-06,7.73,1.5,6.7,0.42
ARG00025,2022-11-08,8.04,0.05,0.6,0.87
ARG00026,2018-11-27,8.34,0.03,1.4,1.989454
ARG00026,2020-02-13,7.86,0.058,0.67,1.0
ARG00026,2021-05-19,8.53,0.00075,0.56,0.05
ARG00026,2021-09-02,7.81,0.02,1.4,0.69
ARG00026,2021-11-01,8.59,0.057,1.1,0.44
ARG00026,2022-02-09,8.08,0.01,2.18,0.13
ARG00026,2022-05-10,8.53,0.02,2.2,0.35
ARG00026,2022-09-07,8.04,0.01,3.1,0.36
ARG00026,2022-11-08,9.6,0.00075,1.0,0.19
ARG00027,2018-11-09,8.34,0.01,0.5,1.011034
ARG00027,2019-02-12,8.33,0.009,0.9,1.0
ARG00027,2020-02-14,7.82,0.01,0.67,1.0
ARG00027,2021-05-20,8.38,0.004,0.58,0.004
ARG00027,2021-09-02,8.35,0.00075,0.6,0.004
ARG00027,2021-11-02,8.19,0.035,0.4,0.04
ARG00027,2022-02-10,8.24,0.09,1.96,0.04
ARG00027,2022-05-11,8.22,0.01,3.0,0.08
ARG00027,2022-09-07,8.24,0.42,1.6,0.02
ARG00027,2022-11-09,8.14,0.01,1.2,0.004
ARG00028,2018-08-28,8.8,0.02,0.1,0.1
ARG00028,2020-11-18,7.76,0.0608,0.27,0.00165
ARG00028,2021-02-22,8.02,0.06,0.6,0.2
ARG00028,2021-05-10,8.33,0.03,0.13,0.46
ARG00028,2021-10-05,9.24,0.01,0.1,1.1
ARG00028,2021-11-16,7.68,0.008,2.4,0.004
ARG00028,2022-02-19,8.13,0.00075,1.6,0.05
ARG00028,2022-05-10,8.48,0.00075,0.6,0.72
ARG00028,2022-08-20,9.02,0.00075,0.4,0.004
ARG00028,2022-11-16,8.3,0.01,0.17,0.01
ARG00029,2018-08-27,9.04,0.01,0.05,2.0
ARG00029,2019-05-24,8.59,0.04,0.2,2.0
ARG00029,2020-02-26,8.15,0.01,0.22,1.9
ARG00029,2020-11-17,8.49,0.0274,0.005,0.00165
ARG00029,2021-02-23,8.38,0.00075,0.0225,0.1
ARG00029,2021-05-11,8.44,0.02,0.17,0.15
ARG00029,2021-09-07,8.63,0.00075,0.02,1.05
ARG00029,2021-11-01,8.38,0.002,0.1,0.48
ARG00029,2022-02-23,8.39,0.00075,0.6,0.09
ARG00029,2022-05-04,8.76,0.02,0.6,0.12
ARG00029,2022-09-07,8.55,0.01,0.5,0.08
ARG00029,2022-11-08,8.63,0.01,0.6,0.08
ARG00030,2018-08-28,8.88,0.15,0.7,0.3
ARG00030,2021-05-10,7.77,0.02,0.14,0.09
ARG00030,2021-10-05,9.03,0.01,0.0225,0.004
ARG00030,2021-11-24,8.03,0.002,1.6,0.004
ARG00030,2022-02-19,8.07,0.02,3.4,0.62
ARG00030,2022-05-10,9.14,0.00075,0.6,0.04
ARG00030,2022-08-20,8.15,0.00075,0.5,0.004
ARG00030,2022-11-16,7.24,0.05,0.45,0.05
ARG00031,2018-08-28,8.11,0.06,0.05,0.05
ARG00031,2020-11-18,7.97,0.1216,0.32,0.00165
ARG00031,2021-02-22,8.15,0.00075,0.5,0.18
ARG00031,2021-05-11,8.14,0.03,0.19,0.08
ARG00031,2021-10-05,8.71,0.02,0.2,0.004
ARG00031,2021-11-16,7.84,0.01,2.4,0.004
ARG00031,2022-02-19,7.88,0.01,2.0,0.06
ARG00031,2022-05-10,7.95,0.06,0.9,0.03
ARG00031,2022-08-20,8.18,0.00075,0.7,0.004
ARG00031,2022-11-15,9.13,0.04,0.48,0.4
ARG00032,2019-02-20,7.89,0.007,0.9,1.9
ARG00032,2019-05-31,8.55,0.01,0.4,0.05
ARG00032,2021-02-23,7.5,0.00075,0.3,0.08
ARG00032,2022-02-22,8.45,0.00075,1.5,0.03
ARG00032,2022-05-03,8.34,0.00075,0.9,0.05
ARG00032,2022-09-06,8.82,0.12,0.5,0.02
ARG00033,2018-08-27,8.7,0.01,0.05,2.0
ARG00033,2018-11-29,8.71,0.05,0.05,2.0
ARG00033,2019-06-05,8.8,0.01,0.2,2.0
ARG00033,2020-02-27,8.41,0.057,0.45,1.0
ARG00033,2020-11-17,8.45,0.00075,0.005,0.00165
ARG00033,2021-02-22,8.83,0.06,0.0225,0.2
ARG00033,2021-05-10,8.71,0.03,0.13,0.46
ARG00033,2021-09-08,8.75,0.01,0.02,0.06
ARG00033,2021-11-09,8.61,0.01,0.0225,0.004
ARG00033,2022-02-16,8.57,0.02,0.62,0.02
ARG00033,2022-05-18,8.88,0.07,0.8,0.11
ARG00033,2022-08-30,8.75,0.00075,3.0,0.08
ARG00033,2022-11-24,8.73,0.00075,0.4,0.16
ARG00034,2018-08-16,9.37,0.01,0.05,1.0
ARG00034,2018-11-08,8.52,0.01,0.05,1.0
ARG00034,2019-08-27,8.66,0.01,0.05,3.6
ARG00034,2020-02-12,8.38,0.027,0.45,1.9
ARG00034,2021-02-16,8.6,0.00075,0.0225,0.22
ARG00034,2021-05-20,8.5,0.02,0.21,0.1
ARG00034,2021-09-28,8.5,0.01,0.22,0.015
ARG00034,2021-11-10,8.56,0.07,0.3,0.15
ARG00034,2022-02-16,8.41,0.01,1.14,0.03
ARG00034,2022-05-19,8.56,0.02,3.5,0.06
ARG00034,2022-08-31,8.75,0.00075,1.0,0.24
ARG00034,2022-11-23,8.54,0.00075,1.1,0.85
ARG00035,2018-08-27,9.21,0.01,0.05,2.0
ARG00035,2018-11-13,8.51,0.01,0.05,1.0
ARG00035,2019-06-07,8.79,0.04,0.5,2.0
ARG00035,2020-02-27,8.46,0.025,0.67,1.9
ARG00035,2020-11-17,8.65,0.00075,0.005,0.00165
ARG00035,2021-02-22,8.78,0.00075,0.0225,0.24
ARG00035,2021-05-11,8.6,0.03,0.15,0.18
ARG00035,2021-09-08,8.72,0.00075,0.02,0.08
ARG00035,2021-11-01,8.21,0.015,0.1,0.14
ARG00035,2022-02-23,8.42,0.03,0.7,0.13
ARG00035,2022-05-04,8.63,0.00075,0.6,0.16
ARG00035,2022-09-07,8.72,0.05,0.5,0.07
ARG00035,2022-11-08,8.58,0.00075,0.5,0.04
ARG00036,2018-08-15,8.85,0.01,0.05,1.0
ARG00036,2018-11-07,8.5,0.01,0.2,3.6
ARG00036,2019-08-26,8.26,0.01,0.2,2.0
ARG00036,2019-11-21,8.14,0.01,0.2,2.0
ARG00036,2020-02-12,8.18,0.027,0.67,1.9
ARG00036,2021-02-17,8.55,0.00075,0.0225,0.22
ARG00036,2021-05-19,8.54,0.00075,0.27,0.24
ARG00036,2021-09-28,9.7,0.01,0.025,0.015
ARG00036,2021-11-10,8.37,0.01,1.52,0.1
ARG00036,2022-01-25,8.11,0.01,0.025,0.015
ARG00036,2022-04-21,8.11,0.01,0.2,0.015
ARG00036,2022-07-27,8.39,0.01,0.7,0.015
ARG00036,2022-11-02,8.35,0.01,0.6,0.04
ARG00037,2018-11-28,8.5,0.03,0.9,2.0
ARG00037,2019-02-27,7.15,0.009,0.9,1.9
ARG00037,2019-05-20,8.5,0.01,0.5,2.0
ARG00037,2019-08-20,8.86,0.03,0.5,2.0
ARG00037,2019-12-03,8.01,0.01,0.2,1.0
ARG00037,2020-03-02,8.32,0.029,0.67,1.9
ARG00037,2021-02-16,8.46,0.05,0.4,0.31
ARG00037,2021-05-19,8.34,0.00075,0.47,0.004
ARG00037,2021-09-28,8.61,0.006,0.3,0.06
ARG00037,2021-11-10,8.35,0.01,0.4,0.18
ARG00037,2022-02-15,8.47,0.01,1.8,0.28
ARG00037,2022-05-19,8.24,0.00075,1.8,0.28
ARG00037,2022-08-31,8.66,0.1,1.6,0.44
ARG00037,2022-11-23,8.56,0.07,1.5,1.11
ARG00038,2018-11-28,8.68,0.01,0.7,1.989454
ARG00038,2019-02-27,8.29,0.009,0.9,1.9
ARG00038,2019-05-20,8.55,0.01,0.7,2.0
ARG00038,2019-08-20,8.81,0.03,0.5,2.0
ARG00038,2020-03-03,8.56,0.024,0.22,1.9
ARG00038,2021-02-16,8.62,0.14,6.1,0.98
ARG00038,2021-05-19,8.53,0.00075,0.48,0.004
ARG00038,2021-09-28,8.8,0.009,0.4,0.08
ARG00038,2021-11-10,8.62,0.06,0.3,0.2
ARG00038,2022-02-15,8.77,0.01,1.65,0.28
ARG00038,2022-05-19,8.41,0.00075,5.5,0.33
ARG00038,2022-08-31,8.88,0.00075,1.5,0.46
ARG00038,2022-11-23,8.72,0.03,1.3,1.23
ARG00039,2018-08-22,8.97,0.02,1.8,0.05
ARG00039,2018-11-22,8.21,0.01,0.9,0.2
ARG00039,2019-05-30,8.44,0.01,1.1,0.2
ARG00039,2019-08-23,8.55,0.01,1.0,0.05
ARG00039,2021-02-10,8.39,0.015,1.49,0.0815
ARG00039,2021-06-23,8.63,0.008,0.903,0.0325
ARG00039,2021-09-07,8.33,0.005,0.8,0.015
ARG00039,2021-12-13,8.39,0.005,0.025,0.015
ARG00039,2022-03-30,8.56,0.005,0.8,0.03
ARG00039,2022-06-14,8.35,0.005,0.9,0.015
ARG00039,2022-09-20,8.31,0.005,0.9,0.015
ARG00040,2021-02-10,8.42,0.008,0.609,0.0325
ARG00040,2022-02-23,7.75,0.005,0.4,0.015
ARG00040,2022-05-25,4.74,0.005,0.4,0.015
ARG00041,2018-08-21,8.47,0.01,0.3,0.05
ARG00041,2018-11-21,8.21,0.04,0.7,0.4
ARG00041,2019-05-29,8.3,0.01,0.9,0.1
ARG00041,2019-08-22,8.69,0.01,1.6,0.05
ARG00041,2021-09-22,8.77,0.005,0.2,0.015
ARG00041,2021-11-16,8.33,0.005,0.2,0.015
ARG00042,2020-12-15,7.49,0.0076,0.29,0.0326
ARG00042,2021-03-03,8.29,0.061,0.903,0.0325
ARG00042,2021-06-09,8.46,0.008,0.406,0.0325
ARG00042,2021-09-07,8.33,0.005,0.2,0.015
ARG00042,2021-12-14,8.39,0.005,0.025,0.015
ARG00042,2022-03-29,8.48,0.005,0.8,0.03
ARG00042,2022-06-14,7.95,0.005,0.8,0.015
ARG00042,2022-09-19,8.34,0.005,0.7,0.03
ARG00042,2022-12-13,8.63,0.005,0.7,0.09
ARG00043,2020-12-15,7.92,0.0076,0.2,0.0326
ARG00043,2021-03-04,8.31,0.008,0.497,0.0325
ARG00043,2021-06-09,9.85,0.008,0.406,0.0325
ARG00043,2021-09-08,8.57,0.005,0.4,0.015
ARG00043,2021-12-14,8.42,0.005,0.025,0.015
ARG00043,2022-03-29,8.5,0.005,0.5,0.015
ARG00043,2022-06-15,8.43,0.005,0.5,0.015
ARG00043,2022-09-19,8.4,0.005,0.4,0.015
ARG00043,2022-12-13,8.25,0.005,0.4,0.015
ARG00044,2020-12-15,8.23,0.0076,0.5,0.0326
ARG00044,2021-03-04,8.36,0.008,0.497,0.0325
ARG00044,2021-06-09,8.72,0.008,0.497,0.0325
ARG00044,2021-09-08,8.64,0.005,0.6,0.015
ARG00044,2021-12-14,8.36,0.005,0.025,0.015
ARG00044,2022-03-29,8.34,0.005,0.9,0.03
ARG00044,2022-06-15,8.88,0.005,0.8,0.06
ARG00044,2022-09-19,8.35,0.005,0.8,0.06
ARG00044,2022-12-13,8.36,0.005,0.7,0.07
ARG00045,2020-09-02,9.28,0.0076,0.09,0.03265
ARG00045,2021-09-30,9.22,0.005,0.4,0.015
ARG00045,2021-12-09,8.87,0.015,0.025,0.015
ARG00045,2022-06-29,8.62,0.005,0.3,0.015
ARG00045,2022-09-27,8.87,0.005,0.4,0.03
ARG00046,2020-09-14,8.53,0.0076,0.09,0.03265
ARG00046,2020-12-09,8.19,0.0076,0.005,0.0326
ARG00046,2021-03-16,8.19,0.008,0.008,0.0325
ARG00046,2021-06-08,8.17,0.008,0.008,0.0325
ARG00046,2021-09-09,8.42,0.005,0.2,0.015
ARG00046,2021-12-06,8.1,0.005,0.025,0.015
ARG00046,2022-03-17,8.39,0.005,0.025,0.015
ARG00046,2022-06-07,8.52,0.005,0.025,0.015
ARG00046,2022-09-26,8.58,0.005,0.1,0.015
ARG00046,2022-12-12,8.22,0.005,0.025,0.03
ARG00047,2019-12-19,8.58,0.01,0.05,0.05
ARG00047,2020-03-10,8.42,0.01,0.05,0.05
ARG00047,2020-09-15,8.43,0.0076,0.41,0.03265
ARG00047,2020-12-09,8.27,0.0076,0.09,0.0326
ARG00047,2021-03-16,8.24,0.008,0.09,0.0325
ARG00047,2021-06-08,8.15,0.008,0.008,0.0325
ARG00047,2021-09-09,8.51,0.005,0.4,0.015
ARG00047,2021-12-06,8.18,0.005,0.025,0.015
ARG00047,2022-03-17,8.45,0.005,0.025,0.03
ARG00047,2022-06-08,8.36,0.005,0.025,0.015
ARG00047,2022-09-27,8.5,0.005,0.2,0.03
ARG00047,2022-12-13,8.76,0.005,0.1,0.015
ARG00048,2019-12-12,8.54,0.01,0.05,0.05
ARG00048,2020-03-05,8.27,0.01,0.05,0.05
ARG00048,2020-12-21,8.41,0.0076,0.09,0.0326
ARG00048,2021-03-10,8.28,0.008,0.008,0.0325
ARG00048,2021-06-02,8.59,0.008,0.008,0.0325
ARG00048,2021-09-09,8.92,0.005,0.1,0.015
ARG00048,2021-12-06,8.17,0.005,0.025,0.015
ARG00048,2022-03-14,7.91,0.005,0.025,0.06
ARG00048,2022-06-02,8.53,0.005,0.1,0.03
ARG00048,2022-09-15,8.4,0.005,0.1,0.015
ARG00048,2022-12-11,8.1,0.015,0.1,0.015
ARG00049,2019-03-12,8.02,0.17,2.8,0.04
ARG00049,2020-09-15,8.45,0.0076,0.09,0.03265
ARG00049,2020-12-09,8.22,0.0076,0.09,0.0326
ARG00049,2021-03-16,8.19,0.008,0.008,0.0325
ARG00049,2021-06-08,8.17,0.008,0.008,0.0325
ARG00049,2021-09-09,8.55,0.005,0.2,0.015
ARG00049,2021-12-06,8.13,0.005,0.025,0.015
ARG00049,2022-03-17,8.46,0.005,0.025,0.015
ARG00049,2022-06-08,8.5,0.005,0.025,0.015
ARG00049,2022-09-27,8.61,0.005,0.1,0.06
ARG00049,2022-12-12,8.59,0.005,0.025,0.015
ARG00050,2018-12-21,8.33,0.06,4.6,0.05
ARG00051,2018-12-12,8.11,0.09,5.5,0.05
ARG00051,2019-12-18,8.2,0.01,0.05,0.05
ARG00051,2020-03-12,8.22,0.01,0.05,0.05
ARG00051,2020-09-17,8.18,0.0076,0.29,0.03265
ARG00051,2020-12-03,8.28,0.0076,0.005,0.0326
ARG00051,2021-03-08,8.1,0.008,0.008,0.0325
ARG00051,2021-06-17,8.37,0.008,0.79,0.0325
ARG00051,2021-09-16,8.2,0.005,0.2,0.03
ARG00051,2021-12-15,8.08,0.005,0.025,0.015
ARG00051,2022-03-16,8.1,0.005,0.025,0.015
ARG00051,2022-06-15,8.37,0.005,0.7,0.015
ARG00051,2022-09-22,8.45,0.005,0.1,0.015
ARG00051,2022-12-21,8.22,0.005,0.025,0.015
ARG00052,2019-12-18,7.95,0.01,0.05,0.05
ARG00052,2020-03-12,7.95,0.01,0.45,0.19
ARG00052,2020-09-17,8.25,0.0076,0.7,0.03265
ARG00052,2020-12-03,8.19,0.0076,0.5,0.0326
ARG00052,2021-03-08,8.18,0.008,0.406,0.0325
ARG00052,2021-06-17,8.35,0.008,0.293,0.0325
ARG00052,2021-09-15,8.28,0.005,0.5,0.015
ARG00052,2021-12-15,8.41,0.005,0.025,0.015
ARG00052,2022-03-16,8.3,0.005,0.6,0.015
ARG00052,2022-06-15,8.34,0.005,0.4,0.015
ARG00052,2022-09-22,8.89,0.005,0.5,0.015
ARG00052,2022-12-21,7.98,0.005,0.5,0.015
ARG00053,2019-12-17,8.15,0.01,0.05,0.05
ARG00053,2020-03-11,8.07,0.01,0.05,0.05
ARG00053,2020-09-16,8.27,0.0076,0.09,0.03265
ARG00053,2020-12-02,8.18,0.0076,0.09,0.0326
ARG00053,2021-03-11,8.09,0.008,0.008,0.0325
ARG00053,2021-06-16,8.05,0.008,0.025,0.0325
ARG00053,2021-09-15,8.07,0.005,0.025,0.015
ARG00053,2021-12-14,8.01,0.005,0.025,0.015
ARG00053,2022-03-15,8.0,0.005,0.025,0.015
ARG00053,2022-06-14,8.41,0.005,0.025,0.015
ARG00053,2022-09-21,8.36,0.005,0.025,0.015
ARG00053,2022-12-20,8.11,0.005,0.025,0.015
ARG00055,2019-01-07,8.88,0.13,0.3,0.05
ARG00055,2019-03-25,8.3,0.12,0.36,0.01
ARG00055,2019-06-10,8.58,0.02,0.2,3.4
ARG00055,2019-09-09,8.23,0.33,3.1,0.2
ARG00055,2019-12-16,8.61,0.24,2.0,0.1
ARG00055,2020-03-10,7.89,0.1,0.22,0.05
ARG00055,2020-12-29,8.43,0.0076,0.09,0.0326
ARG00055,2021-03-17,7.83,0.008,0.008,0.0325
ARG00055,2021-06-16,8.81,0.008,0.008,0.0325
ARG00055,2021-09-16,8.92,0.015,0.1,0.21
ARG00055,2021-12-08,9.06,0.005,0.025,0.015
ARG00055,2022-03-16,8.34,0.005,0.025,0.2
ARG00055,2022-06-07,8.6,0.005,0.025,0.015
ARG00055,2022-09-14,8.05,0.005,0.025,0.015
ARG00056,2019-03-26,8.47,0.009,0.9,0.01
ARG00056,2019-06-11,8.54,0.03,0.2,4.1
ARG00056,2019-09-09,8.31,0.37,3.1,0.1
ARG00056,2020-03-10,8.39,0.03,0.23,0.05
ARG00056,2020-12-29,8.05,0.1216,1.36,0.326
ARG00056,2021-03-17,8.31,0.015,1.309,0.0325
ARG00056,2021-06-15,8.71,0.008,2.89,0.261
ARG00056,2021-09-15,8.21,0.03,3.0,0.015
ARG00056,2021-12-08,8.42,0.015,0.025,0.015
ARG00056,2022-03-16,8.25,0.005,3.0,0.2
ARG00056,2022-06-07,7.91,0.08,3.4,0.1
ARG00056,2022-09-13,8.16,0.08,3.7,0.2
ARG00057,2019-06-18,8.07,0.01,0.5,0.05
ARG00057,2019-09-13,8.82,0.01,0.5,0.05
ARG00057,2020-09-23,7.78,0.0038,0.23,0.0098
ARG00057,2020-12-11,8.49,0.0038,0.115,0.013
ARG00057,2021-03-05,8.8,0.004,0.226,0.016
ARG00057,2021-06-28,8.85,0.001,0.03,0.03
ARG00057,2021-09-27,8.48,0.005,0.115,0.001
ARG00057,2021-12-16,8.45,0.005,0.115,0.165
ARG00057,2022-03-29,8.8,0.001,0.01,0.007
ARG00057,2022-07-05,8.82,0.001,0.0125,0.032
ARG00057,2022-09-26,8.54,0.001,0.0125,0.018
ARG00057,2022-12-26,8.58,0.001,0.0125,0.009
ARG00058,2020-10-07,8.64,0.0038,0.23,0.00165
ARG00058,2020-12-17,7.34,0.0038,0.115,0.00165
ARG00058,2021-03-25,8.25,0.0015,0.0115,0.007
ARG00058,2021-06-15,7.68,0.0015,0.0125,0.001
ARG00058,2021-09-17,8.06,0.005,0.115,0.001
ARG00058,2021-12-08,8.79,0.005,0.115,0.165
ARG00058,2022-03-17,7.9,0.001,0.05,0.001
ARG00058,2022-06-22,8.02,0.001,0.0125,0.001
ARG00058,2022-09-14,8.18,0.001,0.0125,0.001
ARG00058,2022-12-15,7.66,0.001,0.0125,0.004
ARG00059,2020-09-10,7.85,0.0091,0.23,0.0033
ARG00059,2021-03-05,7.54,0.004,0.226,0.013
ARG00059,2021-09-22,8.65,0.005,0.115,0.008
ARG00059,2021-12-21,8.45,0.025,0.115,0.165
ARG00059,2022-03-28,8.18,0.008,0.052,0.008
ARG00059,2022-06-14,8.56,0.015,0.1,0.01
ARG00059,2022-09-28,8.54,0.009,0.0125,0.049
ARG00059,2022-12-13,7.94,0.006,0.0125,0.007
ARG00060,2019-09-12,7.59,0.01,0.7,0.05
ARG00060,2020-09-11,8.0,0.0038,0.23,0.013
ARG00060,2020-12-08,8.69,0.0038,0.23,0.0261
ARG00060,2021-03-04,8.04,0.004,0.226,0.0015
ARG00060,2021-06-29,8.48,0.005,0.07,0.03
ARG00060,2021-09-28,8.43,0.005,0.115,0.001
ARG00060,2021-12-15,9.2,0.005,0.115,0.165
ARG00060,2022-03-30,8.61,0.001,0.01,0.001
ARG00060,2022-07-04,8.56,0.011,0.0125,0.083
ARG00060,2022-09-27,8.53,0.001,0.0125,0.012
ARG00060,2022-12-27,8.73,0.001,0.0125,0.009
ARG00061,2018-09-26,7.69,0.01,0.3,0.05
ARG00061,2018-12-27,8.04,0.01,0.2,0.1
ARG00061,2019-12-04,7.720000000000001,0.0069,0.0825,0.025825
ARG00061,2021-03-08,7.62,0.004,0.226,0.003
ARG00061,2021-06-15,7.21,0.004,0.226,0.007
ARG00061,2021-09-16,7.64,0.005,0.115,0.001
ARG00061,2021-12-15,6.61,0.005,0.115,0.165
ARG00061,2022-03-16,7.3,0.001,0.01,0.001
ARG00061,2022-06-14,8.54,0.001,0.0125,0.001
ARG00061,2022-09-06,8.32,0.001,0.0125,0.008
ARG00061,2022-12-19,8.18,0.001,0.0125,0.009
ARG00062,2020-09-22,8.02,0.0038,0.45,0.0848
ARG00062,2020-12-14,7.5,0.0038,0.23,0.0359
ARG00062,2021-03-23,8.39,0.001,0.0115,0.01
ARG00062,2021-06-17,8.96,0.03,0.0125,0.01
ARG00062,2021-10-04,8.49,0.005,0.115,0.001
ARG00062,2021-12-09,8.83,0.005,0.115,0.165
ARG00062,2022-03-07,8.55,0.001,0.01,0.001
ARG00062,2022-06-28,8.83,0.001,0.0125,0.013
ARG00062,2022-10-05,8.69,0.001,0.08,0.027
ARG00062,2023-01-03,8.28,0.001,0.0125,0.06
ARG00063,2020-09-22,6.99,0.0038,0.45,0.1337
